"plot_visit","one_hour","ten_hour","hundred_hour","fwd","thousand_sound","thousand_rotten","one_to_thousand","duff","litter","total","region"
"nc07_2016_04_20",0.7,1.6,0,2.3,0.8,18.3,21.4,20.1,8.9,50.4,"North Cascades"
"nc08_1996_-1_-1",0.8,1.2,0.6,2.6,9,3.7,15.3,34,13.1,62.4,"North Cascades"
"nc08_1996_01_00",0.5,0.6,0,1.1,0,0,1.1,31.4,5,37.4,"North Cascades"
"nc08_1997_01_01",0.3,1.6,1.3,3.2,0,0,3.2,8.8,7.6,19.6,"North Cascades"
"nc08_1998_01_02",0.5,1.7,0,2.3,0,0,2.3,10.7,11.3,24.3,"North Cascades"
"nc08_2002_01_05",0.8,2,0,2.9,1.3,0.3,4.5,32.4,7.6,44.5,"North Cascades"
"nc08_2002_01_06",0.8,2,0,2.9,1.3,0.3,4.5,32.4,7.6,44.5,"North Cascades"
"nc08_2007_02_01",0.7,1.3,1.9,3.9,5.8,0,9.7,10.4,10.6,30.7,"North Cascades"
"nc08_2011_04_15",0.8,1.7,1.3,3.8,4.8,1.4,10,13.5,10.1,33.5,"North Cascades"
"nc08_2016_04_20",0.6,1.3,0.6,2.5,3.1,0.8,6.4,17.7,10.1,34.2,"North Cascades"
"nc09_1997_-2_-2",1.2,0.9,1.3,3.3,7.6,9.4,20.3,25,10.1,55.3,"North Cascades"
"nc09_2000_-1_-1",1.5,2.6,4.5,8.6,7.2,13.5,29.4,63.4,9.1,101.9,"North Cascades"
"nc09_2002_02_01",1.1,0.6,0.6,2.3,3.9,15.6,21.9,36.5,10,68.4,"North Cascades"
"nc09_2005_04_00",0.6,0.4,0,1,12.6,0,13.6,9.1,8.7,31.5,"North Cascades"
"nc09_2006_04_01",1.8,0.7,0,2.5,16.5,0,19.1,16.1,13.3,48.5,"North Cascades"
"nc09_2007_04_02",0.9,0.7,0,1.6,2.2,7.2,11,13.9,7,31.8,"North Cascades"
"nc09_2010_04_05",0.9,0.9,0.6,2.5,25.2,0,27.7,16.6,2.9,47.2,"North Cascades"
"nc09_2020_04_15",0.9,0.4,0,1.3,0,12.7,14.1,16.9,9.3,40.3,"North Cascades"
"nc09_2015_04_10",0.5,1.3,1.9,3.7,0,3.5,7.2,2.5,14.8,24.6,"North Cascades"
"nc10_1997_-2_-2",1.1,3,1.3,5.4,0.6,0,6,41.5,16.9,64.5,"North Cascades"
"nc10_2000_-1_-1",0.9,4.2,3.2,8.4,2.1,0.8,11.3,70.3,1.7,83.4,"North Cascades"
"nc10_2002_02_01",1.2,2.7,2.6,6.5,8.9,0.4,15.8,43.8,9,68.6,"North Cascades"
"nc10_2003_04_00",0.6,1.7,3.2,5.6,9.2,0,14.8,35.8,5,55.6,"North Cascades"
"nc10_2004_04_01",1.1,2.6,0.6,4.4,7.6,0,12,26,15,53,"North Cascades"
"nc10_2005_04_02",0.8,1.7,4.5,7,10.3,0,17.4,13.6,15.3,46.2,"North Cascades"
"nc10_2008_04_05",0.9,4.2,2.6,7.7,0.5,0,8.2,14.6,16.4,39.2,"North Cascades"
"nc10_2018_04_15",1.2,4.2,4.5,9.9,0.8,0.3,11,21.7,13.4,46.1,"North Cascades"
"nc10_2013_04_10",0.8,3.9,4.5,9.2,0.6,0.2,10.1,19.9,10.6,40.5,"North Cascades"
"nc11_1997_-2_-2",0.7,1.9,4.5,7.1,4.1,1.6,12.7,68.8,10.9,92.5,"North Cascades"
"nc11_2000_-1_-1",1.5,3.9,5.1,10.5,1.1,10.9,22.5,49.1,8.1,79.8,"North Cascades"
"nc11_2002_02_01",0.9,3.3,3.9,8.1,19,4.4,31.5,36.4,9.4,77.3,"North Cascades"
"nc11_2003_04_00",0.4,1.3,3.2,4.9,16.1,1.7,22.7,17.8,2.3,42.8,"North Cascades"
"nc11_2004_04_01",0.6,2.6,5.1,8.3,19.7,13.1,41,16.3,9.6,66.9,"North Cascades"
"nc11_2005_04_02",0.5,2.5,4.5,7.4,20.1,15.4,42.9,5.8,6.5,55.2,"North Cascades"
"nc11_2008_04_05",0.8,1.6,5.8,8.2,21.6,16.1,45.9,14.6,10.2,70.7,"North Cascades"
"nc11_2018_04_15",0.4,2.9,2.6,5.9,13.9,8.1,27.9,9.5,7.4,44.8,"North Cascades"
"nc11_2013_04_10",0.6,3.8,4.5,8.9,5.5,21.9,36.2,14.9,9.1,60.2,"North Cascades"
"nc12_1997_-2_-2",0.2,1.6,0,1.7,0,0,1.7,23.3,6.9,32,"North Cascades"
"nc12_2000_-1_-1",0.7,1.9,0,2.5,0.2,5.6,8.4,50.5,6.1,65.1,"North Cascades"
"nc12_2008_02_02",0.4,1.7,0,2.2,4.8,5.3,12.3,23.5,8.4,44.2,"North Cascades"
"nc12_2002_02_01",0.6,3,0,3.7,3.5,3.2,10.4,28.1,6.6,45.1,"North Cascades"
"nc12_2007_02_05",0.4,1.7,1.3,3.4,2.1,7.2,12.7,13,6.9,32.7,"North Cascades"
"nc14_1998_-1_-1",1.6,3,1.9,6.6,2,0,8.5,16.2,9,33.7,"North Cascades"
"nc14_2002_02_01",2.3,4.5,3.2,10,9.5,0.8,20.3,31.8,6.8,58.8,"North Cascades"
"nc14_2003_04_00",0.7,3.6,1.9,6.2,13.7,0,20,16.8,3.1,39.9,"North Cascades"
"nc14_2004_04_01",1.3,8.7,3.2,13.2,11,0,24.2,15.3,6.8,46.4,"North Cascades"
"nc14_2005_04_02",1.4,3.8,1.9,7.1,10.1,0,17.2,8.8,7,33,"North Cascades"
"nc14_2008_04_05",1.2,2.2,11.6,15,16.5,0.5,32,6.6,5.7,44.4,"North Cascades"
"nc14_2018_04_15",1.1,4.2,4.5,9.8,4.3,6.6,20.8,12.7,12,45.4,"North Cascades"
"nc14_2013_04_10",0.9,4.6,4.5,10,15.9,0.7,26.6,14.8,5.7,47.1,"North Cascades"
"nc16_2001_-1_-1",0.9,1.9,3.2,6,31.2,4.3,41.5,53.6,10.7,105.8,"North Cascades"
"nc16_2002_02_01",0.7,1.9,4.5,7.1,43.6,0.3,50.9,24.6,10.4,86,"North Cascades"
"nc16_NA_04_rn",0.2,1.6,3.2,5.1,26.7,0,31.8,10,11.7,53.5,"North Cascades"
"nc17_1998_-1_-1",1,3.5,5.8,10.2,0.4,3.8,14.4,16.1,13.1,43.6,"North Cascades"
"nc17_2001_02_01",0.8,4,3.9,8.7,2.6,2.3,13.5,62.4,9.3,85.2,"North Cascades"
"nc17_2002_04_00",0.2,1.7,3.2,5.2,1.7,2.7,9.6,34.9,4.5,49,"North Cascades"
"nc17_2003_04_01",0.3,2.9,3.9,7,5.7,0,12.7,29.8,6.9,49.4,"North Cascades"
"nc17_2004_04_02",0.3,3.6,5.8,9.7,4.2,3.2,17.2,13.1,8.9,39.2,"North Cascades"
"nc17_2007_04_05",0.2,1.2,5.1,6.5,6.1,3.4,16,12.9,10.4,39.3,"North Cascades"
"nc17_2018_05_00",0.5,1.3,2.6,4.3,22.6,0,26.9,9.3,6.8,43,"North Cascades"
"nc17_2020_05_02",0.5,1.2,3.9,5.5,25.9,0.7,32.1,12.2,6.9,51.3,"North Cascades"
"nc17_2017_04_15",0.3,3.5,4.5,8.3,0.5,3.8,12.6,13.5,13.2,39.3,"North Cascades"
"nc17_2012_04_10",0.4,2.5,3.9,6.7,2,2.4,11.1,21.7,9.6,42.4,"North Cascades"
"nc19_1997_-1_-1",1.2,2.2,1.3,4.7,7.5,2.8,14.9,32.8,12.6,60.3,"North Cascades"
"nc19_2002_02_01",1.9,2.3,0.6,4.9,13.9,11.6,30.4,39,8.6,78.1,"North Cascades"
"nc19_2003_04_00",0.5,1.2,0.6,2.3,14.1,3.2,19.6,31.3,3.9,54.8,"North Cascades"
"nc19_2004_04_01",1,2.2,1.9,5.1,9.3,4.7,19.1,19.1,10.4,48.5,"North Cascades"
"nc19_2005_04_02",0.9,1.4,0.6,3,6.7,2.8,12.5,8.1,7.6,28.3,"North Cascades"
"nc19_2008_04_05",1.4,1,0.6,3.1,12.8,3.6,19.5,8.9,20.4,48.7,"North Cascades"
"nc19_2018_05_00",1,1,0.6,2.6,13.1,0.6,16.4,12.1,9.9,38.4,"North Cascades"
"nc19_2020_05_02",0.8,1.4,1.3,3.5,3.7,14.4,21.6,27.7,8.8,58.1,"North Cascades"
"nc19_2018_04_15",1.4,2,0.6,4.1,31.5,2.7,38.3,3.6,7.1,48.9,"North Cascades"
"nc19_2013_04_10",0.8,2.2,1.3,4.2,8.6,5.3,18.2,6.1,8.9,33.2,"North Cascades"
"nc21_1996_-1_-1",0.7,1,1.3,3,0.6,13.1,16.8,42.4,8,67.2,"North Cascades"
"nc21_1997_01_00",0.4,1,4,5.4,9.8,1.7,17,42.1,10.5,69.6,"North Cascades"
"nc21_1998_01_01",0.5,1.5,2.7,4.7,9,5.6,19.3,17.7,8.3,45.3,"North Cascades"
"nc21_1999_01_02",0.7,1.3,4,6,5.3,2.4,13.8,21.6,7.1,42.5,"North Cascades"
"nc21_2002_01_05",1.8,2.1,1.3,5.2,27.6,0,32.9,24.6,4.7,62.1,"North Cascades"
"nc21_2003_02_01",0.5,2.2,2,4.7,3.8,0,8.5,33.3,5.3,47.2,"North Cascades"
"nc21_2004_05_00",0.6,1.2,2.7,4.5,7.6,0,12.1,30.4,1.6,44.1,"North Cascades"
"nc21_2005_05_01",1,2.8,1.3,5.2,16.9,0,22,12.7,13.5,48.2,"North Cascades"
"nc21_2006_05_02",1,3.1,1.3,5.4,13.3,0,18.7,28.4,11.1,58.2,"North Cascades"
"nc21_2009_05_05",0.9,2.8,6,9.7,25.1,0,34.8,34.9,18,87.7,"North Cascades"
"nc21_2014_05_10",0.6,3.2,6.6,10.4,5.2,10.3,25.9,25.4,10,61.3,"North Cascades"
"nc21_2019_05_15",0.4,1.2,3.3,4.9,6.2,7.3,18.4,9,6.9,34.3,"North Cascades"
"nc22_1996_-1_-1",0.7,2.3,0.6,3.6,1,6,10.6,59.2,13.1,82.9,"North Cascades"
"nc22_1997_01_00",0.4,1.9,0.6,2.9,29.7,0,32.7,14.8,6.8,54.3,"North Cascades"
"nc22_1998_01_01",0.4,0.9,0,1.2,23.8,2,27.1,13.8,6.9,47.7,"North Cascades"
"nc22_1999_01_02",0.6,2.5,0,3.1,31,0.4,34.5,23.8,7.2,65.5,"North Cascades"
"nc22_2002_01_05",1,1.6,0,2.6,26,2.2,30.8,39.8,4.6,75.1,"North Cascades"
"nc22_2020_02_02",1.3,2.9,3.9,8.1,1.9,15.7,25.7,28,23,76.7,"North Cascades"
"nc22_2003_02_01",0.6,3.2,3.2,7,33.6,0,40.6,26,4.7,71.4,"North Cascades"
"nc22_2004_05_00",0.6,3.5,4.5,8.6,18,0,26.6,21,2,49.7,"North Cascades"
"nc22_2005_05_01",0.8,2.6,4.5,7.9,26.6,0.9,35.3,16.6,8.8,60.7,"North Cascades"
"nc22_2006_05_02",1.2,3.6,3.9,8.7,39.8,0,48.5,27.7,8.9,85.1,"North Cascades"
"nc22_2009_05_05",0.5,3.2,4.5,8.1,36.9,2,47,20.8,16.8,84.6,"North Cascades"
"nc22_2014_05_10",0.8,2.5,3.2,6.5,12.3,21.8,40.6,11.3,9,61,"North Cascades"
"nc22_2019_05_15",0.8,3.2,2.6,6.5,6.6,31.2,44.3,25.5,10.4,80.2,"North Cascades"
"nc23_1996_-1_-1",0.9,4.2,0.6,5.8,0.6,11,17.4,38.2,21.2,76.7,"North Cascades"
"nc23_1997_01_00",0,0.6,3.2,3.8,34.9,0,38.7,8.9,7.8,55.5,"North Cascades"
"nc23_1998_01_01",0.2,1.6,1.3,3.1,57.6,0,60.7,10.7,15.2,86.5,"North Cascades"
"nc23_1999_01_02",0.1,2.5,5.2,7.7,29.1,18.6,55.4,10.3,9.9,75.6,"North Cascades"
"nc23_2002_01_05",0.2,2,1.9,4.1,88.1,0.4,92.7,33.8,9.4,135.9,"North Cascades"
"nc23_2003_02_01",0.1,2.8,2.6,5.5,69.9,0,75.4,23.6,8.9,107.9,"North Cascades"
"nc23_2004_05_00",0.2,2.3,0.6,3.2,39.2,0,42.3,10.2,3.6,56.1,"North Cascades"
"nc23_2005_05_01",0.2,1.6,0,1.8,26,0,27.8,4.2,8.2,40.1,"North Cascades"
"nc23_2006_05_02",0.4,4.2,0,4.6,48.5,1.1,54.2,7.9,5.2,67.3,"North Cascades"
"nc23_2009_05_05",0.2,3.8,1.9,5.9,31.8,0.4,38.1,15.1,6.1,59.4,"North Cascades"
"nc23_2014_05_10",0.3,4.8,0.6,5.7,7,35.4,48.2,13.1,8.4,69.6,"North Cascades"
"nc23_2019_05_15",0.3,0.9,0,1.2,17.5,32.1,50.8,6.6,8,65.3,"North Cascades"
"nc24_1996_-1_-1",0.9,2.9,1.3,5.1,0,10.5,15.6,65.2,23.5,104.3,"North Cascades"
"nc24_1997_01_00",0.2,2.8,5.1,8.1,0,0,8.1,19.8,7.8,35.7,"North Cascades"
"nc24_1998_01_01",0.7,2,0,2.7,0.6,0,3.3,10.2,8.7,22.2,"North Cascades"
"nc24_1999_01_02",0.7,2.3,0,3.1,1.3,0.9,5.3,13.8,7.1,26.2,"North Cascades"
"nc24_2002_01_05",1,2.9,0,3.9,2.5,0.3,6.7,16.8,7.7,31.2,"North Cascades"
"nc24_2003_02_01",1,3,0.6,4.7,30.6,0,35.3,27.1,6.4,68.8,"North Cascades"
"nc24_2004_05_00",0.7,1.7,1.3,3.7,21.6,0.2,25.5,24.9,1.7,52.1,"North Cascades"
"nc24_2005_05_01",1.1,2.2,1.9,5.2,18.7,0.6,24.6,15.9,6,46.4,"North Cascades"
"nc24_2006_05_02",1.7,3.2,0,4.9,18.9,0,23.8,15.1,11.1,50,"North Cascades"
"nc24_2009_05_05",1.1,5.9,1.3,8.3,34.4,0.2,43,19.9,11,74,"North Cascades"
"nc24_2014_05_10",0.6,3.5,0,4.1,35.6,0.3,40,12.7,10.4,63,"North Cascades"
"nc24_2019_05_15",1,3,1.3,5.3,1.7,34.1,41.1,16.6,10.1,67.8,"North Cascades"
"nc25_1996_-1_-1",1.8,3,4.5,9.4,6.7,0.4,16.5,47.4,3.6,67.4,"North Cascades"
"nc25_1999_01_00",0.8,1.5,1.9,4.2,5.8,4.6,14.5,23.6,13.8,52,"North Cascades"
"nc25_2000_01_01",1,1.3,2.6,4.9,6.7,1.1,12.7,35.9,4.6,53.2,"North Cascades"
"nc25_2001_01_02",1,1.2,1.9,4.1,7.7,1.1,12.9,56.5,8.3,77.7,"North Cascades"
"nc25_2008_02_02",1.4,2.9,0.6,4.9,4.9,2.9,12.7,17,18.2,47.9,"North Cascades"
"nc25_2005_05_00",1,2.5,1.9,5.3,4.6,3.4,13.4,14.3,8.7,36.4,"North Cascades"
"nc25_2006_05_01",2,1.4,0.6,4.1,10.6,0,14.7,19.7,18.7,53.1,"North Cascades"
"nc25_2007_05_02",1,2.5,0.6,4.1,12.1,2.5,18.7,13.8,9.2,41.8,"North Cascades"
"nc25_2011_09_01",1.6,5.2,0,6.8,6,0,12.8,10.5,11.1,34.4,"North Cascades"
"nc25_2010_08_05",1.5,2.5,3.9,7.8,4.3,3.8,15.9,28.3,11.3,55.5,"North Cascades"
"nc25_2010_09_00",1,2.2,3.2,6.4,8.9,2.6,17.9,20.4,11.2,49.6,"North Cascades"
"nc25_2015_09_05",1.1,2.9,1.3,5.3,4.8,2.5,12.6,10.3,17.3,40.1,"North Cascades"
"nc25_2012_09_02",1.2,1.7,1.3,4.2,5.4,0.6,10.2,2.5,3.4,16.1,"North Cascades"
"nc25_2020_09_10",1.2,3.6,5.8,10.6,4.9,8.9,24.4,21,18.6,64.1,"North Cascades"
"nc28_1996_-1_-1",1.3,3.6,0.6,5.5,0,5.2,10.7,44.1,10.6,65.4,"North Cascades"
"nc28_1996_01_00",0.7,1.2,0,1.9,0,3.4,5.2,28.7,7,40.9,"North Cascades"
"nc28_1997_01_01",0.4,2.3,0.6,3.3,2.3,2.3,8,10.5,4.2,22.6,"North Cascades"
"nc28_1998_01_02",0.9,2.5,0,3.3,2.6,0,5.9,8.6,10.3,24.8,"North Cascades"
"nc28_2002_01_06",1.3,3.3,0.6,5.2,5.3,0.9,11.4,25.9,7.2,44.5,"North Cascades"
"nc28_2007_02_01",0.6,3.8,3.2,7.6,16,2.2,25.8,19.6,6.2,51.6,"North Cascades"
"nc28_2011_04_15",0.5,3.2,4.5,8.1,20.6,8,36.8,10.8,13.7,61.3,"North Cascades"
"nc28_2016_04_20",0.2,3.2,7.7,11.1,23.8,32.2,67.1,9.2,7.7,84,"North Cascades"
"nc30_1996_-1_-1",0.6,1.4,0.6,2.7,11.3,7.7,21.7,43.1,17.9,82.7,"North Cascades"
"nc30_1997_01_00",0.4,2.5,0.6,3.5,0,22.3,25.8,9.3,2.6,37.7,"North Cascades"
"nc30_1998_01_01",0.6,1.9,0.6,3.1,20.4,0,23.6,10.7,8.9,43.1,"North Cascades"
"nc30_1999_01_02",0.9,2.3,1.3,4.5,22.9,0.5,28,12.8,12.2,53,"North Cascades"
"nc30_2002_01_05",0.7,1.7,0,2.5,27,0.2,29.7,21.5,8.3,59.4,"North Cascades"
"nc30_2003_02_01",1.4,6.5,3.9,11.8,21,0,32.7,19.3,10.3,62.3,"North Cascades"
"nc30_2004_05_00",0.6,2.3,1.3,4.2,19,0,23.1,17.6,3.1,43.9,"North Cascades"
"nc30_2005_05_01",0.7,0.7,2.6,4,22.4,0,26.4,15.3,9,50.7,"North Cascades"
"nc30_2006_05_02",1.2,1,3.2,5.4,23.3,0,28.8,13.2,11.7,53.6,"North Cascades"
"nc30_2009_05_05",0.8,2.3,2.6,5.6,14.3,7.4,27.3,9.1,5.8,42.2,"North Cascades"
"nc30_2014_05_10",0.7,2.3,1.3,4.3,7.2,12.9,24.4,8.1,7.6,40.1,"North Cascades"
"nc30_2019_05_15",0.9,2.5,1.3,4.6,10,25.4,40,10.7,11,61.7,"North Cascades"
"nc31_1997_-1_-1",1.4,2.2,0.6,4.3,1,0.2,5.5,11.1,12.5,29.1,"North Cascades"
"nc31_1997_01_00",0.7,1.5,0.6,2.8,8.8,0,11.6,15.2,10.5,37.3,"North Cascades"
"nc31_1998_01_01",0.5,0.6,0,1.1,10.7,0,11.7,11.8,7.8,31.4,"North Cascades"
"nc31_1999_01_02",0.9,1.3,0,2.2,12.2,0.7,15,12.1,10.2,37.3,"North Cascades"
"nc31_2002_01_05",0.6,0.6,0,1.2,9.3,0,10.5,13.8,8.5,32.9,"North Cascades"
"nc31_2003_02_01",0.7,2.8,0.6,4.1,14.7,0,18.9,19.3,7.7,45.8,"North Cascades"
"nc31_2004_05_00",0.8,3.3,0.6,4.8,17.4,0,22.2,16.7,3.1,42,"North Cascades"
"nc31_2005_05_01",0.8,2,0.6,3.5,13.3,0.3,17.1,7.4,11,35.4,"North Cascades"
"nc31_2006_05_02",0.9,1.7,1.3,3.9,12.5,0.3,16.7,11.2,8,35.9,"North Cascades"
"nc31_2009_05_05",0.8,1.9,2.6,5.3,13,0,18.3,16.3,8.9,43.5,"North Cascades"
"nc31_2014_05_10",0.6,3.2,29,32.8,9.8,0.4,43,10.6,9.5,63.1,"North Cascades"
"nc31_2019_05_15",0.6,2.6,1.9,5.2,2.9,13.5,21.5,9.3,10.4,41.2,"North Cascades"
"nc35_1997_-2_-2",0.4,9.4,0.6,10.5,3,0.6,14.1,50.5,10.8,75.4,"North Cascades"
"nc35_2002_-1_-1",1.3,5.3,0,6.7,2.4,0.9,10,52.9,9.4,72.2,"North Cascades"
"nc35_2020_02_02",0.4,4.8,0.6,5.8,11.7,24.7,42.2,23.6,13.7,79.5,"North Cascades"
"nc35_2003_02_01",1.5,9.7,3.9,15.1,13.8,0.9,29.8,43.6,16.3,89.6,"North Cascades"
"nc35_2004_04_00",0.2,5.5,1.9,7.6,15,0,22.6,23.2,2.1,48,"North Cascades"
"nc35_2005_04_01",0.6,5.2,1.3,7.1,15.2,0,22.3,7.5,10,39.8,"North Cascades"
"nc35_2006_04_02",1.2,5.3,3.9,10.4,14.4,0.7,25.5,16.5,10,52,"North Cascades"
"nc35_2009_04_05",0.7,5.6,4.5,10.8,15.4,0,26.2,22.8,15.4,64.4,"North Cascades"
"nc35_2019_04_15",0.5,3.3,3.2,7,6.7,21.4,35.1,10.1,13.4,58.6,"North Cascades"
"nc35_2014_04_10",0.7,4.8,4.5,9.9,23.8,0.3,34,11.7,9.2,55,"North Cascades"
